Companies,SectorCategory,HQ_Country,Countries_Filled,Backdate,Responded,German,Regions,Response.Sectors,Responded.To,Tags
Vedanta Resources Limited,Extractive,GB,IN,2010-02-09,Yes,0,NA,Metals & steel|Mining,Vedanta Resources lawsuit (re Dongria Kondh in Orissa),"Company Support for Initiatives Promoting Development, Economic and Social Rights|Corporate Legal Accountability|Cultural Rights|Displacement|Governments|Intimidation|Judicial system|Lawsuits & regulatory action|Ownership of Property & Possessions|Protection of Reputation|Security Issues & Conflict Zones"
Independencia,Food and beverage,BR,BR,2009-06-24,Yes,0,NA,Agriculture & livestock|Food & beverage|Slaughterhouses,"Brazil: Greenpeace report on cattle sector raises concerns including forced labour, deforestation causing climate change","Clean, Healthy & Sustainable Environment|Company Policies|Forced Labour & Modern Slavery|Labour Rights|Supply Chains"
Goldcorp (now Newmont),Extractive,CA,HN,2009-05-20,Yes,0,NA,Mining,"Honduras: NGOs raise concerns of ""serious pollution"" at Goldcorp's San Martin mine, affecting health of local communities","Access to Water|Clean, Healthy & Sustainable Environment|Personal Health"
General Electric (GE),Infrastructure and utilities,US,US,2006-05-23,Yes,0,NA,Diversified/Conglomerates|Manufacturing: General,"""Toxic 100"" list of corporate air polluters, prepared by Univ. of Massachusetts research institute (PERI): Alcoa in top 10.","Clean, Healthy & Sustainable Environment|Personal Health"
Dundee Precious Metals,Heavy manufacturing,CA,BG,2009-12-30,Yes,0,NA,Metals & steel|Mining,Bulgaria: Chepelare residents oppose Dundee Precious Metals mine due to environmental concerns,"Access to Water|Clean, Healthy & Sustainable Environment|Personal Health|Protests"
AngloGold Ashanti,Extractive,ZA,CD|GH,2006-07-19,Yes,0,NA,Mining,"Ghana: BBC investigation finds multinational mining firms including Ashanti Goldfields/AngloGold ""prepared to use extreme violence to protect their property""","Clean, Healthy & Sustainable Environment|Company Support for Initiatives Promoting Development, Economic and Social Rights|Economic, Social, and Cultural Rights|Injuries|Intimidation|Killings|Security Issues & Conflict Zones|Violence|Voluntary Principles on Security & Human Rights"
Shell plc,Extractive,GB,NG,2006-11-08,Yes,0,NA,"Oil, gas & coal","Movement for the Survival of the Ogoni People issues ""urgent action"" regarding alleged lack of consultation by Shell","Clean, Healthy & Sustainable Environment|Security Issues & Conflict Zones|UNEP"
New Yorker,Retail and consumer products,DE,BD,2005-10-19,Yes,1,NA,Clothing & textile,Bangladesh: Clean Clothes Campaign 6-month update on Spectrum-Shahriyar factory collapse says sufficient emergency relief provided but inadequate compensation,Supply Chains
Motorola (now Motorola Solutions & Motorola Mobility),Information technology,US,IL,2008-03-11,Yes,0,NA,"Technology, telecom & electronics","US Campaign to End the Israeli Occupation calls on Motorola to stop providing products used in ""Israel’s illegal military occupation and human rights violations”",Company Policies|Security Issues & Conflict Zones
Grupo Flores de la Montaña,Food and beverage,EC,EC,2007-03-02,Yes,0,NA,Agriculture & livestock|Flower,Flores de la Montaña (Ecuador),Labour Rights|Lawsuits & regulatory action
Gelmart Industries,Retail and consumer products,US,PH,2005-04-26,Yes,0,NA,Clothing & textile,An intimate look behind Gelmart's sweatshops [Philippines],Human rights monitoring|Labour Rights
Alcoa,Extractive,US,SR,2007-01-09,Yes,0,NA,Metals & steel|Mining,"Tebtebba Foundation & Forest Peoples Programme submission to UN Special Representative, on indigenous peoples’ rights & extractive industries - refers to Alcoa, BHP Billiton",Indigenous Peoples
Yahoo!,Information technology,US,CN,2005-09-13,Yes,0,NA,Technology: Internet & social media,Reporters Without Borders raises concerns over information supplied by Yahoo! to Chinese govt.,Freedom of Expression|Right to Privacy
Coca-Cola,Food and beverage,US,IN,2005-08-22,Yes,0,NA,Food & beverage,"Gangaikondan, India: Protest against proposed Coca-Cola bottling factory, on grounds it will exacerbate water scarcity in the area","Access to Water|Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights|Governments|Lawsuits & regulatory action"
Coop Norden,Retail and consumer products,SE,CN,2005-06-21,Yes,0,NA,Supermarkets & grocery|Toy,China: Report alleges violations of workers' rights at toy factories,Labour Rights|Personal Health|Supply Chains
Triumph International,Retail and consumer products,CH,PH|TH,2009-08-17,Yes,0,NA,Clothing & textile,Berne Declaration interview with former Special Representative Ruggie regarding his work & role of NGOs,Labour Rights|Protests
Carrefour,Retail and consumer products,FR,BD,2005-10-18,Yes,0,NA,Clothing & textile|Supermarkets & grocery,Bangladesh: Clean Clothes Campaign 6-month update on Spectrum-Shahriyar factory collapse says sufficient emergency relief provided but inadequate compensation,"Company Support for Initiatives Promoting Development, Economic and Social Rights|Injuries|Personal Health"
Scapino,Retail and consumer products,NL,BD,2005-05-09,Yes,0,NA,Clothing & textile|Department stores,"Clean Clothes Campaign says companies sourcing from Bangladesh factory failed to detect serious problems before building collapsed (includes responses by Carrefour, Zara, KarstadtQuelle, Cotton Group, Neckermann, Scapino, Steillmann)",Deaths|Injuries|Labour Rights|Personal Health|Supply Chains
Volvo Group,Heavy manufacturing,SE,IL,2007-07-06,Yes,0,NA,Automobile & other motor vehicles|Construction machinery & vehicles,Israel: Volvo bulldozers photographed in destruction of Bedouin Arab villages - US church group urges divestment,Adequate Living Standards|Housing|Security Issues & Conflict Zones
Mittal Steel (part of Arcelor Mittal),Heavy manufacturing,NL,BA,2006-02-14,Yes,0,NA,Automobile & other motor vehicles|Engineering|Metals & steel,"Bosnia & Herzegovina: Amnesty Intl. report finds widespread employment discrimination is obstacle to return of refugees - refers to Aluminij, New Ljubija Mines (joint venture Mittal Steel & RŽR Ljubija)","Company Grievance Mechanisms|Racial, ethnicity, caste or origin discrimination"
Kraft Foods (now Kraft Heinz),Food and beverage,US,AR,2009-10-13,Yes,0,NA,Food & beverage,"Argentina: Kraft faces protests from workers alleging anti-union practices, intimidation, detention, violence","Intimidation|Labour Rights|Personal Health|Protection from arbitrary arrest, detention or exile|Protests|Security Issues & Conflict Zones|Violence"
AES,Infrastructure and utilities,US,PA,2009-04-16,Yes,0,NA,Energy|Hydropower & dam projects,"Panama: NGO says dam being built by AES displaces Ngöbe villagers ""using unscrupulous methods""",Displacement|Indigenous Peoples|Ownership of Property & Possessions
Ranbaxy Laboratories,Pharmaceutical and chemical,IN,IN,2005-12-28,Yes,0,NA,Pharmaceutical,"India: Ranbaxy, DSM India, Max India & others accused of poisoning ground water with toxic waste","Access to Water|Clean, Healthy & Sustainable Environment|Company Training|WHO"
Heineken,Food and beverage,NL,KH,2006-06-02,Yes,0,NA,Food & beverage,Asia: Campaign spotlights health dangers to young women promoting major beer brands,"Company Training|Economic, Social, and Cultural Rights|Illness|Personal Health|Sexual harassment|Universal Declaration of Human Rights (UDHR)|Violence|Women"
Eastman Kodak,Retail and consumer products,US,US,2006-05-22,Yes,0,NA,Photographic,"""Toxic 100"" list of corporate air polluters, prepared by Univ. of Massachusetts research institute (PERI): Alcoa in top 10.","Clean, Healthy & Sustainable Environment|Personal Health"
ING,Financial services,NL,AR|UY,2005-12-22,Yes,0,NA,Finance & banking|Paper & cardboard,World Bank releases environmental & social impact study of proposed pulp mills in Uruguay - opens consultation period,"Clean, Healthy & Sustainable Environment|Equator Principles|Impact Assessment|International Finance Corporation (IFC)|Project financing & loans"
ConocoPhillips,Extractive,US,PE,2009-05-20,Yes,0,NA,"Oil, gas & coal","NGOs urge ConocoPhillips to withdraw from Peruvian Amazon concession, citing human rights, environmental concerns","Clean, Healthy & Sustainable Environment|Free, prior & informed consent|Indigenous Peoples"
Shell plc,Extractive,GB,NG,2010-02-17,Yes,0,NA,"Oil, gas & coal","Nigeria: Report on Shell’s environmental & social impacts, based on case studies by NGOs working with Niger Delta communities","Clean, Healthy & Sustainable Environment|Personal Health|Security Issues & Conflict Zones"
JMS Garments,Retail and consumer products,BD,BD,2008-10-21,Yes,0,NA,Clothing & textile,Bangladesh: NGO alleges labour abuses by Wal-Mart supplier JMS Garments,Labour Rights|Living Wage|Supply Chains
Cotton Group,Retail and consumer products,BE,BD,2005-05-09,Yes,0,NA,Clothing & textile,"Clean Clothes Campaign says companies sourcing from Bangladesh factory failed to detect serious problems before building collapsed (includes responses by Carrefour, Zara, KarstadtQuelle, Cotton Group, Neckermann, Scapino, Steillmann)","Company Policies|Company Support for Initiatives Promoting Development, Economic and Social Rights|Deaths|Economic, Social, and Cultural Rights|Human rights monitoring|Injuries|Labour Rights|Supply Chains"
Jostens,Retail and consumer products,US,no_data,2006-03-06,Yes,0,NA,Jewellery|Mining,"Letter to Jewelry Retailer ""Laggards"" from the No Dirty Gold Campaign","Clean, Healthy & Sustainable Environment|Supply Chains"
Archer Daniels Midland (ADM),Food and beverage,US,US,2006-05-23,Yes,0,NA,Agriculture & livestock|Food & beverage,"""Toxic 100"" list of corporate air polluters, prepared by Univ. of Massachusetts research institute (PERI): Alcoa in top 10.","Clean, Healthy & Sustainable Environment|Personal Health"
Inditex,Retail and consumer products,ES,BD,2005-05-02,Yes,0,NA,Clothing & textile,"Clean Clothes Campaign says companies sourcing from Bangladesh factory failed to detect serious problems before building collapsed (includes responses by Carrefour, Zara, KarstadtQuelle, Cotton Group, Neckermann, Scapino, Steillmann)","CEOs & Company boards|Company Policies|Company Reporting|Company Support for Initiatives Promoting Development, Economic and Social Rights|Deaths|Economic, Social, and Cultural Rights|Injuries|Labour Rights|Personal Health"
Horizon Clothing,Retail and consumer products,JO,JO,2006-10-14,Yes,0,NA,Clothing & textile,"Jordan: National Labor Committee (NLC) report accuses garment factories of abusive working conditions, incl. beating of workers (Los Angeles Times article - includes responses by Atateks, JC Penney) [free registration required]",Certification|Human rights monitoring|Labour Rights|Migrants & Immigrants|Supply Chains
Norilsk Nickel,Extractive,RU,RU,2006-10-24,Yes,0,NA,Metals & steel|Mining,Blacksmith Institute - World's Most Polluted Places 2006,"Clean, Healthy & Sustainable Environment|Personal Health"
Coca-Cola FEMSA,Food and beverage,MX,MX,2005-09-06,Yes,0,NA,Food & beverage,Mexico: Former senior manager at Coca-Cola FEMSA alleges he was fired because he is gay; Coca-Cola FEMSA denies it,Company Policies|Company Support for Initiatives Promoting Civil & Political Rights|Sexual orientation & gender identity discrimination
British American Tobacco,Food and beverage,GB,CN,2005-04-29,Yes,0,Global,Tobacco,"NGO report alleges British American Tobacco used corporate social responsibility to try to ""block anti-smoking initiatives""",Deaths|Illness|Personal Health
Intex Resources,Extractive,NO,PH,2009-11-10,Yes,0,NA,Mining,Philippines: Mindoro officials protest environmental authorisation of Intex mining project,"Clean, Healthy & Sustainable Environment|Organisation for Economic Co-operation and Development (OECD)|Protests|Right to Food"
Barrick Gold,Extractive,CA,TZ,2009-12-15,Yes,0,NA,Mining,Tanzania: Study alleges leakages from Barrick Gold & AngloGold Ashanti mines have led to contamination of water sources,"Access to Water|Clean, Healthy & Sustainable Environment|Impact Assessment"
Vedanta Resources Limited,Extractive,GB,IN,2008-08-20,Yes,0,NA,Metals & steel|Mining,Vedanta Resources lawsuit (re Dongria Kondh in Orissa),"Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights|Indigenous Peoples|Lawsuits & regulatory action"
Impala Platinum (Implats),Extractive,ZA,ZA,2007-07-09,Yes,0,NA,Mining,"So. Africa: Report says platinum mines have serious health, safety risks for workers, host communities","Clean, Healthy & Sustainable Environment"
Sara Lee,Retail and consumer products,US,MX,2006-08-29,Yes,0,NA,Clothing & textile,"Concerns re working conditions at Monclova Internacional, Mexico",Injuries|Personal Health
BHP,Extractive,AU,PE,2005-03-01,Yes,0,NA,Mining,"Peru: Increased mining is harming local communities, says Christian Aid report","Clean, Healthy & Sustainable Environment|Personal Health"
AngloGold Ashanti,Extractive,ZA,GH,2005-06-15,Yes,0,NA,Mining,Ghana: Mining-affected communities raise concerns about environmental & health impacts of AngloGold Ashanti & Newmont,"Access to Water|Adequate Living Standards|Clean, Healthy & Sustainable Environment|Company Reporting|Displacement|Governments|Housing|Illness|Impact Assessment|National human rights institutions (NHRI)|Ownership of Property & Possessions|Personal Health|Protection from arbitrary arrest, detention or exile"
Google (part of Alphabet),Other,US,CN,2006-05-15,Yes,0,NA,"Technology: Internet & social media|Technology, telecom & electronics","Amnesty Intl. online actions call on Microsoft, Yahoo!, Google not to assist govts. in repression of internet freedom",Access to Information|Freedom of Expression
Serco,Financial services,GB,GB,2009-05-05,Yes,0,NA,Health and social care|Security companies,"UK: Children’s treatment at immigration detention centre run by Serco is ‘shameful’, says Children’s Commissioner’s report",Children|Personal Health
Novartis,Pharmaceutical and chemical,CH,IN,2006-11-01,Yes,0,NA,Pharmaceutical,"Physicians for Social Justice (Nigeria) critiques company responses to ICCR report ""Benchmarking AIDS""",Intellectual Property|Lawsuits & regulatory action|People living with HIV/AIDs|Personal Health|Restricted access to medicines
Ford,Heavy manufacturing,US,AR,2007-03-08,Yes,0,NA,Automobile & other motor vehicles,Ford statement regarding legal claims brought by former employees who say they were kidnapped and tortured on Ford Argentina premises during the 1976-83 military dictatorship.,Complicity|Killings|Lawsuits & regulatory action|Torture & Ill-treatment
DSM,Pharmaceutical and chemical,NL,IN,2005-12-21,Yes,0,NA,Chemical: General|Pharmaceutical,"India: Ranbaxy, DSM India, Max India & others accused of poisoning ground water with toxic waste","Access to Water|Clean, Healthy & Sustainable Environment|Personal Health"
Rio Tinto,Extractive,GB,MG,2007-10-30,Yes,0,NA,Mining,"Madagascar: Collection of testimonies by indigenous Antanosy describe loss of livelihoods, agricultural land due to Rio Tinto mine - recognise some improved services","Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights"
Tesco,Retail and consumer products,GB,ZA,2005-04-13,Yes,0,NA,Agriculture & livestock|Food & beverage|Pesticide|Supermarkets & grocery,"So. Africa: ActionAid report says women picking fruit for Tesco suppliers work in ""appalling conditions""","Adequate Living Standards|Clean, Healthy & Sustainable Environment|Housing|Human rights monitoring|Labour Rights|Right to Education|Supply Chains"
Crédit Agricole,Financial services,FR,FR,2008-01-29,Yes,0,NA,Arms/Weapons|Finance & banking,Antipersonnel landmines and cluster bombs - Amnesty International denounces the investment policies of France’s leading banking institutions,Company Policies|Security Issues & Conflict Zones|Socially-responsible investing & shareholder activism
Balfour Beatty,Heavy manufacturing,GB,GB,2009-03-06,Yes,0,NA,Construction,"More than 40 construction firms allegedly bought personal data on workers to blacklist job applicants, including details of trade union activities.",Labour Rights|Right to Privacy
GlaxoSmithKline,Pharmaceutical and chemical,GB,TH,2006-08-09,Yes,0,NA,Pharmaceutical,Thailand: Hundreds protest against GlaxoSmithKline HIV drug patent application - GSK disputes claims that it would seek to reduce access,Intellectual Property|People living with HIV/AIDs|Personal Health|Protests|Restricted access to medicines
Barrick Gold,Extractive,CA,TZ,2009-03-10,Yes,0,NA,Mining,"Tanzania: Police shooting at Barrick's North Mara mine - one dead, several injured (Jan 2009)",Deaths|Security Issues & Conflict Zones|World Bank
Modandola Group|Standard Flour Mills,Other,NG,NG,2007-09-04,Yes,0,NA,Food & beverage,"Nigeria: Workers allege anti-union practices, “inhuman conditions”, at Standard Flour Mills","Labour Rights|Racial, ethnicity, caste or origin discrimination"
bp,Extractive,GB,AZ|GB|GE|TR,2005-04-04,Yes,0,NA,"Oil, gas & coal","Turkey: Human rights abuses incl. unfair trial related to BP's Baku-Tbilisi-Ceyhan pipeline, according to report by Friends of the Earth & other NGOs","Clean, Healthy & Sustainable Environment|Company Reporting|Human rights monitoring"
Ukrenergo,Infrastructure and utilities,UA,UA,2009-11-25,Yes,0,NA,Energy,Ukraine: Clashes between police & local residents in protest over alleged health impacts of Ukrenergo’s high voltage power lines - 5 women injured,"Clean, Healthy & Sustainable Environment|Governments|Impact Assessment|Personal Health|Protests"
Eni,Extractive,IT,CG,2009-07-24,Yes,0,NA,"Bioenergy|Oil, gas & coal|Palm trees & oil",Rep. of Congo: Report raises serious social & environmental concerns of Eni's planned tar sands oil & agro-fuel projects,"Access to Information|Access to Water|Clean, Healthy & Sustainable Environment|Climate Crisis|Company Support for Initiatives Promoting Development, Economic and Social Rights|Economic, Social, and Cultural Rights|Impact Assessment|Payments to governments"
DuPont,Pharmaceutical and chemical,US,US,2006-05-22,Yes,0,NA,Chemical: General,"""Toxic 100"" list of corporate air polluters, prepared by Univ. of Massachusetts research institute (PERI): DuPont in top 10.","Clean, Healthy & Sustainable Environment|Personal Health"
ArcelorMittal,Heavy manufacturing,LU,KZ|UA,2009-01-07,Yes,0,NA,Metals & steel,"Ukraine & Kazakhstan: NGO alleges ArcelorMittal using financial crisis to ""wriggle out"" of environmental obligations","Clean, Healthy & Sustainable Environment|Labour Rights|Personal Health"
Dow Chemical,Pharmaceutical and chemical,US,IN|US,2007-04-26,Yes,0,NA,Chemical: General,"Union Carbide/Dow lawsuit (re Bhopal, filed in the US)","Clean, Healthy & Sustainable Environment|Deaths|Governments"
Gaslink (part of Oando),Extractive,NG,NG,2007-09-25,Yes,0,NA,"Oil, gas & coal","Nigeria: Environmental group says gas project has potential to cause ""unprecedented"" loss of lives","Clean, Healthy & Sustainable Environment|Governments|Impact Assessment|Personal Health"
Perenco,Extractive,FR,EC,2006-07-18,Yes,0,NA,"Oil, gas & coal","Ecuador: Protesters call for oil company Perenco to ""leave & pay for environmental damages""","Clean, Healthy & Sustainable Environment|Company Support for Initiatives Promoting Development, Economic and Social Rights|Protests|Security Issues & Conflict Zones"
TOP-TOY,Retail and consumer products,SE,CN,2005-06-15,Yes,0,NA,Retail|Toy,China: Report alleges violations of workers' rights at toy factories,"Certification|Company Reporting|Company Support for Initiatives Promoting Development, Economic and Social Rights|Human rights monitoring|ILO|Supply Chains"
Coca-Cola,Food and beverage,US,CO,2008-10-02,Yes,0,NA,Food & beverage,Coca-Cola lawsuit (re Colombia),Labour Rights|Lawsuits & regulatory action
adidas,Retail and consumer products,DE,TH,2006-06-30,Yes,1,NA,Clothing & textile|Sporting goods,"New Thai study: Women making adidas World Cup footballs and Mikasa footballs get ""poverty wages""",Human rights monitoring|Labour Rights|Living Wage|Supply Chains
SP International,Retail and consumer products,IN,IN,2006-12-11,Yes,0,NA,Leather & tanneries,Calcutta Telegraph article alleges SP International leather bag factory exploiting child workers,Child labour|Labour Rights|Personal Health|Supply Chains
Brio,Retail and consumer products,SE,CN,2005-06-13,Yes,0,NA,Toy,China: Report alleges violations of workers' rights at toy factories,Certification|Company Training|International Council of Toy Industries (ICTI)|Labour Rights|Personal Health|Supply Chains
Yamana Gold,Extractive,CA,HN,2006-07-11,Yes,0,NA,Mining,Concerns about environmental contamination at mine [Honduras],"Access to Water|Clean, Healthy & Sustainable Environment|Protests"
Shell plc,Extractive,GB,SA,2007-10-02,Yes,0,NA,"Oil, gas & coal","'Former Shell executive decries ""The myth of Corporations’ commitments to Human Rights""'",Protection of Reputation
De Beers (part of Anglo American),Extractive,ZA,BW,2009-09-01,Yes,0,NA,Diamond|Mining,Botswana: Report says De Beers has not benefited communities in which it operates,"Access to Water|Clean, Healthy & Sustainable Environment|Company Reporting|Economic, Social, and Cultural Rights|Labour Rights|People living with HIV/AIDs|Personal Health|Restricted access to medicines|Right to Education|UN|Women|World Bank"
Glamis Gold (part of Goldcorp),Extractive,US,GT,2006-05-22,Yes,0,NA,Mining,"Guatemala: Concerns about social & environmental impacts of Goldcorp's Marlin mine, including threats against author of report on toxic run-off","Access to Information|Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights|Free, prior & informed consent|Governments|ILO|Indigenous Peoples|International Finance Corporation (IFC)|Intimidation|Killings|Lawsuits & regulatory action|Payments to governments|World Bank"
MDL (Mineral Deposits Limited),Extractive,AU,SN,2010-01-05,Yes,0,NA,Mining,Sénégal : MDL & son sous-traitant Connexion Internationale accusés de « licenciements abusifs » à Sabodala,Labour Rights
BHP,Extractive,AU,BW,2005-03-30,Yes,0,NA,Diamond|Mining,"Botswana: Survival International warns BHP Billiton's exploration of Kalahari lacks Bushmen's consent, undermines their rights to ancestral land","Access to Information|Cultural Rights|Free, prior & informed consent|Indigenous Peoples|Right to Education"
Nicotex,Retail and consumer products,GT,GT,2009-03-12,Yes,0,NA,Clothing & textile,"Guatemala: Labour rights violations at Nicotex factory supplying Briggs NY, Lane Bryant, says National Labor Committee report",Labour Rights|Personal Health|Women
